brand,date,day_of_week,month,tiaoxiu,workday,year
3,1289,2,11,0,1,2016
4,1289,2,11,0,1,2016
5,1289,2,11,0,1,2016
6,1289,2,11,0,1,2016
7,1289,2,11,0,1,2016
8,1289,2,11,0,1,2016
9,1289,2,11,0,1,2016
10,1289,2,11,0,1,2016
1,1290,3,11,0,1,2016
2,1290,3,11,0,1,2016
3,1290,3,11,0,1,2016
4,1290,3,11,0,1,2016
5,1290,3,11,0,1,2016
6,1290,3,11,0,1,2016
7,1290,3,11,0,1,2016
8,1290,3,11,0,1,2016
9,1290,3,11,0,1,2016
10,1290,3,11,0,1,2016
1,1291,4,11,0,1,2016
2,1291,4,11,0,1,2016
3,1291,4,11,0,1,2016
4,1291,4,11,0,1,2016
5,1291,4,11,0,1,2016
6,1291,4,11,0,1,2016
7,1291,4,11,0,1,2016
8,1291,4,11,0,1,2016
9,1291,4,11,0,1,2016
10,1291,4,11,0,1,2016
1,1292,5,11,0,1,2016
2,1292,5,11,0,1,2016
3,1292,5,11,0,1,2016
4,1292,5,11,0,1,2016
5,1292,5,11,0,1,2016
6,1292,5,11,0,1,2016
7,1292,5,11,0,1,2016
8,1292,5,11,0,1,2016
9,1292,5,11,0,1,2016
10,1292,5,11,0,1,2016
3,1293,6,11,0,1,2016
4,1293,6,11,0,1,2016
5,1293,6,11,0,1,2016
6,1293,6,11,0,1,2016
7,1293,6,11,0,1,2016
8,1293,6,11,0,1,2016
9,1293,6,11,0,1,2016
10,1293,6,11,0,1,2016
1,1294,1,11,0,1,2016
2,1294,1,11,0,1,2016
3,1294,1,11,0,1,2016
4,1294,1,11,0,1,2016
5,1294,1,11,0,1,2016
6,1294,1,11,0,1,2016
7,1294,1,11,0,1,2016
8,1294,1,11,0,1,2016
9,1294,1,11,0,1,2016
10,1294,1,11,0,1,2016
1,1295,2,11,0,1,2016
2,1295,2,11,0,1,2016
3,1295,2,11,0,1,2016
4,1295,2,11,0,1,2016
5,1295,2,11,0,1,2016
6,1295,2,11,0,1,2016
7,1295,2,11,0,1,2016
8,1295,2,11,0,1,2016
9,1295,2,11,0,1,2016
10,1295,2,11,0,1,2016
1,1296,3,11,0,1,2016
2,1296,3,11,0,1,2016
3,1296,3,11,0,1,2016
4,1296,3,11,0,1,2016
5,1296,3,11,0,1,2016
6,1296,3,11,0,1,2016
7,1296,3,11,0,1,2016
8,1296,3,11,0,1,2016
9,1296,3,11,0,1,2016
10,1296,3,11,0,1,2016
1,1297,4,12,0,1,2016
2,1297,4,12,0,1,2016
3,1297,4,12,0,1,2016
4,1297,4,12,0,1,2016
5,1297,4,12,0,1,2016
6,1297,4,12,0,1,2016
7,1297,4,12,0,1,2016
8,1297,4,12,0,1,2016
9,1297,4,12,0,1,2016
10,1297,4,12,0,1,2016
1,1298,5,12,0,1,2016
2,1298,5,12,0,1,2016
3,1298,5,12,0,1,2016
4,1298,5,12,0,1,2016
5,1298,5,12,0,1,2016
6,1298,5,12,0,1,2016
7,1298,5,12,0,1,2016
8,1298,5,12,0,1,2016
9,1298,5,12,0,1,2016
10,1298,5,12,0,1,2016
1,1299,6,12,0,1,2016
2,1299,6,12,0,1,2016
3,1299,6,12,0,1,2016
4,1299,6,12,0,1,2016
5,1299,6,12,0,1,2016
6,1299,6,12,0,1,2016
7,1299,6,12,0,1,2016
8,1299,6,12,0,1,2016
9,1299,6,12,0,1,2016
10,1299,6,12,0,1,2016
1,1300,1,12,0,1,2016
2,1300,1,12,0,1,2016
3,1300,1,12,0,1,2016
4,1300,1,12,0,1,2016
5,1300,1,12,0,1,2016
6,1300,1,12,0,1,2016
7,1300,1,12,0,1,2016
8,1300,1,12,0,1,2016
9,1300,1,12,0,1,2016
10,1300,1,12,0,1,2016
1,1301,2,12,0,1,2016
2,1301,2,12,0,1,2016
3,1301,2,12,0,1,2016
4,1301,2,12,0,1,2016
5,1301,2,12,0,1,2016
6,1301,2,12,0,1,2016
7,1301,2,12,0,1,2016
8,1301,2,12,0,1,2016
9,1301,2,12,0,1,2016
10,1301,2,12,0,1,2016
1,1302,3,12,0,1,2016
2,1302,3,12,0,1,2016
3,1302,3,12,0,1,2016
4,1302,3,12,0,1,2016
5,1302,3,12,0,1,2016
6,1302,3,12,0,1,2016
7,1302,3,12,0,1,2016
8,1302,3,12,0,1,2016
9,1302,3,12,0,1,2016
10,1302,3,12,0,1,2016
1,1303,4,12,0,1,2016
2,1303,4,12,0,1,2016
3,1303,4,12,0,1,2016
4,1303,4,12,0,1,2016
5,1303,4,12,0,1,2016
6,1303,4,12,0,1,2016
7,1303,4,12,0,1,2016
8,1303,4,12,0,1,2016
9,1303,4,12,0,1,2016
10,1303,4,12,0,1,2016
1,1304,5,12,0,1,2016
2,1304,5,12,0,1,2016
3,1304,5,12,0,1,2016
4,1304,5,12,0,1,2016
5,1304,5,12,0,1,2016
6,1304,5,12,0,1,2016
7,1304,5,12,0,1,2016
8,1304,5,12,0,1,2016
9,1304,5,12,0,1,2016
10,1304,5,12,0,1,2016
1,1305,6,12,0,1,2016
2,1305,6,12,0,1,2016
3,1305,6,12,0,1,2016
4,1305,6,12,0,1,2016
5,1305,6,12,0,1,2016
6,1305,6,12,0,1,2016
7,1305,6,12,0,1,2016
8,1305,6,12,0,1,2016
9,1305,6,12,0,1,2016
10,1305,6,12,0,1,2016
6,1306,7,12,0,1,2016
1,1307,1,12,0,1,2016
2,1307,1,12,0,1,2016
3,1307,1,12,0,1,2016
4,1307,1,12,0,1,2016
5,1307,1,12,0,1,2016
6,1307,1,12,0,1,2016
7,1307,1,12,0,1,2016
8,1307,1,12,0,1,2016
9,1307,1,12,0,1,2016
10,1307,1,12,0,1,2016
1,1308,2,12,0,1,2016
2,1308,2,12,0,1,2016
3,1308,2,12,0,1,2016
4,1308,2,12,0,1,2016
5,1308,2,12,0,1,2016
6,1308,2,12,0,1,2016
7,1308,2,12,0,1,2016
8,1308,2,12,0,1,2016
9,1308,2,12,0,1,2016
10,1308,2,12,0,1,2016
1,1309,3,12,0,1,2016
2,1309,3,12,0,1,2016
3,1309,3,12,0,1,2016
4,1309,3,12,0,1,2016
5,1309,3,12,0,1,2016
6,1309,3,12,0,1,2016
7,1309,3,12,0,1,2016
8,1309,3,12,0,1,2016
9,1309,3,12,0,1,2016
10,1309,3,12,0,1,2016
1,1310,4,12,0,1,2016
2,1310,4,12,0,1,2016
3,1310,4,12,0,1,2016
4,1310,4,12,0,1,2016
5,1310,4,12,0,1,2016
6,1310,4,12,0,1,2016
7,1310,4,12,0,1,2016
8,1310,4,12,0,1,2016
9,1310,4,12,0,1,2016
10,1310,4,12,0,1,2016
1,1311,5,12,0,1,2016
2,1311,5,12,0,1,2016
3,1311,5,12,0,1,2016
4,1311,5,12,0,1,2016
5,1311,5,12,0,1,2016
6,1311,5,12,0,1,2016
7,1311,5,12,0,1,2016
8,1311,5,12,0,1,2016
9,1311,5,12,0,1,2016
10,1311,5,12,0,1,2016
1,1312,6,12,0,1,2016
2,1312,6,12,0,1,2016
3,1312,6,12,0,1,2016
4,1312,6,12,0,1,2016
5,1312,6,12,0,1,2016
6,1312,6,12,0,1,2016
7,1312,6,12,0,1,2016
8,1312,6,12,0,1,2016
9,1312,6,12,0,1,2016
10,1312,6,12,0,1,2016
1,1313,7,12,0,1,2016
1,1314,1,12,0,1,2016
2,1314,1,12,0,1,2016
3,1314,1,12,0,1,2016
4,1314,1,12,0,1,2016
5,1314,1,12,0,1,2016
6,1314,1,12,0,1,2016
7,1314,1,12,0,1,2016
8,1314,1,12,0,1,2016
9,1314,1,12,0,1,2016
10,1314,1,12,0,1,2016
1,1315,2,12,0,1,2016
2,1315,2,12,0,1,2016
3,1315,2,12,0,1,2016
4,1315,2,12,0,1,2016
5,1315,2,12,0,1,2016
6,1315,2,12,0,1,2016
7,1315,2,12,0,1,2016
8,1315,2,12,0,1,2016
9,1315,2,12,0,1,2016
10,1315,2,12,0,1,2016
1,1316,3,12,0,1,2016
2,1316,3,12,0,1,2016
3,1316,3,12,0,1,2016
4,1316,3,12,0,1,2016
5,1316,3,12,0,1,2016
6,1316,3,12,0,1,2016
7,1316,3,12,0,1,2016
8,1316,3,12,0,1,2016
9,1316,3,12,0,1,2016
10,1316,3,12,0,1,2016
1,1317,4,12,0,1,2016
2,1317,4,12,0,1,2016
3,1317,4,12,0,1,2016
4,1317,4,12,0,1,2016
5,1317,4,12,0,1,2016
6,1317,4,12,0,1,2016
7,1317,4,12,0,1,2016
8,1317,4,12,0,1,2016
9,1317,4,12,0,1,2016
10,1317,4,12,0,1,2016
1,1318,5,12,0,1,2016
2,1318,5,12,0,1,2016
3,1318,5,12,0,1,2016
4,1318,5,12,0,1,2016
5,1318,5,12,0,1,2016
6,1318,5,12,0,1,2016
7,1318,5,12,0,1,2016
8,1318,5,12,0,1,2016
9,1318,5,12,0,1,2016
10,1318,5,12,0,1,2016
1,1319,6,12,0,1,2016
2,1319,6,12,0,1,2016
3,1319,6,12,0,1,2016
4,1319,6,12,0,1,2016
5,1319,6,12,0,1,2016
6,1319,6,12,0,1,2016
7,1319,6,12,0,1,2016
8,1319,6,12,0,1,2016
9,1319,6,12,0,1,2016
10,1319,6,12,0,1,2016
9,1320,7,12,0,1,2016
1,1321,1,12,0,1,2016
2,1321,1,12,0,1,2016
3,1321,1,12,0,1,2016
4,1321,1,12,0,1,2016
5,1321,1,12,0,1,2016
6,1321,1,12,0,1,2016
7,1321,1,12,0,1,2016
8,1321,1,12,0,1,2016
9,1321,1,12,0,1,2016
10,1321,1,12,0,1,2016
1,1322,2,12,0,1,2016
2,1322,2,12,0,1,2016
3,1322,2,12,0,1,2016
4,1322,2,12,0,1,2016
5,1322,2,12,0,1,2016
6,1322,2,12,0,1,2016
7,1322,2,12,0,1,2016
8,1322,2,12,0,1,2016
9,1322,2,12,0,1,2016
10,1322,2,12,0,1,2016
1,1323,3,12,0,1,2016
2,1323,3,12,0,1,2016
3,1323,3,12,0,1,2016
4,1323,3,12,0,1,2016
5,1323,3,12,0,1,2016
6,1323,3,12,0,1,2016
7,1323,3,12,0,1,2016
8,1323,3,12,0,1,2016
9,1323,3,12,0,1,2016
10,1323,3,12,0,1,2016
1,1324,4,12,0,1,2016
2,1324,4,12,0,1,2016
3,1324,4,12,0,1,2016
4,1324,4,12,0,1,2016
5,1324,4,12,0,1,2016
6,1324,4,12,0,1,2016
7,1324,4,12,0,1,2016
8,1324,4,12,0,1,2016
9,1324,4,12,0,1,2016
10,1324,4,12,0,1,2016
1,1325,5,12,0,1,2016
2,1325,5,12,0,1,2016
3,1325,5,12,0,1,2016
4,1325,5,12,0,1,2016
5,1325,5,12,0,1,2016
6,1325,5,12,0,1,2016
7,1325,5,12,0,1,2016
8,1325,5,12,0,1,2016
9,1325,5,12,0,1,2016
10,1325,5,12,0,1,2016
6,1326,6,12,0,0,2016
9,1326,6,12,0,0,2016
4,1327,7,1,0,0,2017
6,1327,7,1,0,0,2017
9,1327,7,1,0,0,2017
1,1328,1,1,0,0,2017
4,1328,1,1,0,0,2017
5,1328,1,1,0,0,2017
6,1328,1,1,0,0,2017
8,1328,1,1,0,0,2017
9,1328,1,1,0,0,2017
1,1329,2,1,0,1,2017
2,1329,2,1,0,1,2017
3,1329,2,1,0,1,2017
4,1329,2,1,0,1,2017
5,1329,2,1,0,1,2017
6,1329,2,1,0,1,2017
7,1329,2,1,0,1,2017
8,1329,2,1,0,1,2017
9,1329,2,1,0,1,2017
10,1329,2,1,0,1,2017
1,1330,3,1,0,1,2017
2,1330,3,1,0,1,2017
3,1330,3,1,0,1,2017
4,1330,3,1,0,1,2017
5,1330,3,1,0,1,2017
6,1330,3,1,0,1,2017
7,1330,3,1,0,1,2017
8,1330,3,1,0,1,2017
9,1330,3,1,0,1,2017
10,1330,3,1,0,1,2017
1,1331,4,1,0,1,2017
2,1331,4,1,0,1,2017
3,1331,4,1,0,1,2017
4,1331,4,1,0,1,2017
5,1331,4,1,0,1,2017
6,1331,4,1,0,1,2017
7,1331,4,1,0,1,2017
8,1331,4,1,0,1,2017
9,1331,4,1,0,1,2017
10,1331,4,1,0,1,2017
1,1332,5,1,0,1,2017
2,1332,5,1,0,1,2017
3,1332,5,1,0,1,2017
4,1332,5,1,0,1,2017
5,1332,5,1,0,1,2017
6,1332,5,1,0,1,2017
7,1332,5,1,0,1,2017
8,1332,5,1,0,1,2017
9,1332,5,1,0,1,2017
10,1332,5,1,0,1,2017
1,1333,6,1,0,1,2017
2,1333,6,1,0,1,2017
3,1333,6,1,0,1,2017
4,1333,6,1,0,1,2017
5,1333,6,1,0,1,2017
6,1333,6,1,0,1,2017
7,1333,6,1,0,1,2017
8,1333,6,1,0,1,2017
9,1333,6,1,0,1,2017
10,1333,6,1,0,1,2017
1,1334,1,1,0,1,2017
2,1334,1,1,0,1,2017
3,1334,1,1,0,1,2017
4,1334,1,1,0,1,2017
5,1334,1,1,0,1,2017
6,1334,1,1,0,1,2017
7,1334,1,1,0,1,2017
8,1334,1,1,0,1,2017
9,1334,1,1,0,1,2017
10,1334,1,1,0,1,2017
1,1335,2,1,0,1,2017
2,1335,2,1,0,1,2017
3,1335,2,1,0,1,2017
4,1335,2,1,0,1,2017
5,1335,2,1,0,1,2017
6,1335,2,1,0,1,2017
7,1335,2,1,0,1,2017
8,1335,2,1,0,1,2017
9,1335,2,1,0,1,2017
10,1335,2,1,0,1,2017
1,1336,3,1,0,1,2017
2,1336,3,1,0,1,2017
3,1336,3,1,0,1,2017
4,1336,3,1,0,1,2017
5,1336,3,1,0,1,2017
6,1336,3,1,0,1,2017
7,1336,3,1,0,1,2017
8,1336,3,1,0,1,2017
9,1336,3,1,0,1,2017
10,1336,3,1,0,1,2017
1,1337,4,1,0,1,2017
2,1337,4,1,0,1,2017
3,1337,4,1,0,1,2017
4,1337,4,1,0,1,2017
5,1337,4,1,0,1,2017
6,1337,4,1,0,1,2017
7,1337,4,1,0,1,2017
8,1337,4,1,0,1,2017
9,1337,4,1,0,1,2017
10,1337,4,1,0,1,2017
1,1338,5,1,0,1,2017
2,1338,5,1,0,1,2017
3,1338,5,1,0,1,2017
4,1338,5,1,0,1,2017
5,1338,5,1,0,1,2017
6,1338,5,1,0,1,2017
7,1338,5,1,0,1,2017
8,1338,5,1,0,1,2017
9,1338,5,1,0,1,2017
10,1338,5,1,0,1,2017
1,1339,6,1,0,1,2017
2,1339,6,1,0,1,2017
3,1339,6,1,0,1,2017
4,1339,6,1,0,1,2017
5,1339,6,1,0,1,2017
6,1339,6,1,0,1,2017
7,1339,6,1,0,1,2017
8,1339,6,1,0,1,2017
9,1339,6,1,0,1,2017
5,1340,7,1,0,1,2017
6,1340,7,1,0,1,2017
9,1340,7,1,0,1,2017
1,1341,1,1,0,1,2017
2,1341,1,1,0,1,2017
3,1341,1,1,0,1,2017
4,1341,1,1,0,1,2017
5,1341,1,1,0,1,2017
6,1341,1,1,0,1,2017
7,1341,1,1,0,1,2017
8,1341,1,1,0,1,2017
9,1341,1,1,0,1,2017
10,1341,1,1,0,1,2017
1,1342,2,1,0,1,2017
2,1342,2,1,0,1,2017
3,1342,2,1,0,1,2017
4,1342,2,1,0,1,2017
5,1342,2,1,0,1,2017
6,1342,2,1,0,1,2017
7,1342,2,1,0,1,2017
8,1342,2,1,0,1,2017
9,1342,2,1,0,1,2017
10,1342,2,1,0,1,2017
1,1343,3,1,0,1,2017
2,1343,3,1,0,1,2017
3,1343,3,1,0,1,2017
4,1343,3,1,0,1,2017
5,1343,3,1,0,1,2017
6,1343,3,1,0,1,2017
7,1343,3,1,0,1,2017
8,1343,3,1,0,1,2017
9,1343,3,1,0,1,2017
10,1343,3,1,0,1,2017
1,1344,4,1,0,1,2017
2,1344,4,1,0,1,2017
3,1344,4,1,0,1,2017
4,1344,4,1,0,1,2017
5,1344,4,1,0,1,2017
6,1344,4,1,0,1,2017
7,1344,4,1,0,1,2017
8,1344,4,1,0,1,2017
9,1344,4,1,0,1,2017
10,1344,4,1,0,1,2017
1,1345,5,1,0,1,2017
2,1345,5,1,0,1,2017
3,1345,5,1,0,1,2017
4,1345,5,1,0,1,2017
5,1345,5,1,0,1,2017
6,1345,5,1,0,1,2017
7,1345,5,1,0,1,2017
8,1345,5,1,0,1,2017
9,1345,5,1,0,1,2017
10,1345,5,1,0,1,2017
1,1346,6,1,0,1,2017
2,1346,6,1,0,1,2017
3,1346,6,1,0,1,2017
4,1346,6,1,0,1,2017
5,1346,6,1,0,1,2017
